id,CodFornec,Fornecedor,colum1,colum2,colum3,colum4,colum5,colum6,colum7,colum8,colum9,colum10,colum11,colum12,colum13,colum14
39,3827,LAR COOPERATIVA AGROINDUSTRIAL,30,1476.0,1476.216,30,420.408,0.0,0.0,12612.24,10662.038928,1950.201072,15.4627653136953,0.446033459292478,86.9705241610705,0
40,3326,ITAMARATY INDUSTRIA E COMERCIO S/A,104,7719.0,516.615,104,119.273942307692,0.0,0.0,12404.49,9745.336094,2659.153906,21.4370272860875,0.43868635432397,87.4092105153944,35
41,989,HERSHEY DO BRASIL LTDA,183,742.0,193.914,183,66.1666666666667,0.0,0.0,12108.5,8758.94858,3349.55142,27.6628105876037,0.42821863061938,87.8374291460138,21
42,3461,ASA INDUSTRIA E COMERCIO LTDA (ALIMENTOS),69,5167.0,2416.13,71,158.684929577465,17.36,0.154083341691349,11266.63,9446.055712,1820.574288,16.1589959730638,0.398445791823531,88.2358749378374,1
43,2591,IPLAC INDUSTRIA PLASTICA CAETES LTDA,45,2544.0,513.29,45,240.111111111111,0.0,0.0,10805.0,9245.227381,1559.772619,14.4356558907913,0.382120188614808,88.6179951264522,23
44,403,GDC ALIMENTOS S/A (88),30,2545.0,359.625,33,320.789090909091,768.12,7.25597107133546,10586.04,9350.634109,1235.405891,11.6701419133123,0.374376640581574,88.9923717670337,15
45,3210,FRIGORIFICO SAO JOAQUIM LTDA,49,830.29,1400.79,49,212.020204081633,0.0,0.0,10388.99,8889.99089711,1498.99910289,14.4287279407334,0.367407942463429,89.3597797094972,6
46,3639,LACTICINIO BOAVISTENSE LTDA,111,1203.8,323.25,113,89.2947787610619,0.0,0.0,10090.31,6981.3972936,3108.9127064,30.8108740603609,0.356845086569355,89.7166247960665,0
47,3207,FLORA DISTRIBUIDORA DE PRODUTOS DE HIGIENE E LIMPEZA LTDA,58,2005.0,352.074096,61,161.221475409836,659.14,6.70231663804297,9834.51,8669.65146,1164.85854,11.844601713761,0.347798687286832,90.0644234833534,99
48,3456,USINA DE BENEFICIAMENTO DE LEITE BOM SUCESSO LTDA,24,327.46,327.85432,24,385.04375,0.0,0.0,9241.05,7398.759645,1842.290355,19.9359418572565,0.326810899490872,90.3912343828442,0
49,22,AVIVAR ALIMENTOS S.A,102,1497.0,1488.8,102,88.4523529411765,29.9,0.331406961097921,9022.14,7394.5342025,1627.6057975,18.0401301409643,0.319069119713948,90.7103035025582,10
